    x-coordinate,    y-coordinate,     temperature
2.92E-02,6.75E-03,2.98E+02
2.98E-02,6.25E-03,2.98E+02
2.58E-02,9.75E-03,2.94E+02
2.63E-02,9.25E-03,2.95E+02
2.68E-02,8.75E-03,2.95E+02
2.73E-02,8.25E-03,2.96E+02
2.78E-02,7.75E-03,2.96E+02
2.82E-02,7.25E-03,2.97E+02
2.88E-02,6.75E-03,2.97E+02
2.92E-02,6.25E-03,2.98E+02
2.53E-02,9.75E-03,2.94E+02
2.58E-02,9.25E-03,2.94E+02
2.63E-02,8.75E-03,2.95E+02
2.68E-02,8.25E-03,2.95E+02
2.73E-02,7.75E-03,2.96E+02
2.78E-02,7.25E-03,2.96E+02
2.82E-02,6.75E-03,2.97E+02
2.88E-02,6.25E-03,2.97E+02
2.53E-02,9.25E-03,2.94E+02
2.58E-02,8.75E-03,2.94E+02
2.63E-02,8.25E-03,2.95E+02
2.68E-02,7.75E-03,2.95E+02
2.73E-02,7.25E-03,2.96E+02
2.78E-02,6.75E-03,2.96E+02
2.82E-02,6.25E-03,2.97E+02
2.53E-02,8.75E-03,2.94E+02
2.58E-02,8.25E-03,2.94E+02
2.63E-02,7.75E-03,2.95E+02
2.68E-02,7.25E-03,2.95E+02
2.73E-02,6.75E-03,2.95E+02
2.77E-02,6.25E-03,2.96E+02
2.53E-02,8.25E-03,2.94E+02
2.58E-02,7.75E-03,2.94E+02
2.63E-02,7.25E-03,2.94E+02
2.68E-02,6.75E-03,2.95E+02
2.73E-02,6.25E-03,2.95E+02
2.53E-02,7.75E-03,2.94E+02
2.58E-02,7.25E-03,2.94E+02
2.63E-02,6.75E-03,2.94E+02
2.68E-02,6.25E-03,2.95E+02
2.53E-02,7.25E-03,2.94E+02
2.58E-02,6.75E-03,2.94E+02
2.63E-02,6.25E-03,2.94E+02
2.53E-02,6.75E-03,2.94E+02
2.58E-02,6.25E-03,2.94E+02
2.53E-02,6.25E-03,2.94E+02
1.78E-02,9.75E-03,2.88E+02
1.72E-02,9.75E-03,2.88E+02
1.78E-02,9.25E-03,2.88E+02
1.68E-02,9.75E-03,2.88E+02
1.72E-02,9.25E-03,2.88E+02
1.78E-02,8.75E-03,2.88E+02
1.63E-02,9.75E-03,2.88E+02
1.68E-02,9.25E-03,2.88E+02
1.72E-02,8.75E-03,2.88E+02
1.78E-02,8.25E-03,2.88E+02
1.58E-02,9.75E-03,2.87E+02
1.63E-02,9.25E-03,2.88E+02
1.68E-02,8.75E-03,2.88E+02
1.72E-02,8.25E-03,2.88E+02
1.78E-02,7.75E-03,2.88E+02
1.53E-02,9.75E-03,2.87E+02
1.58E-02,9.25E-03,2.87E+02
1.63E-02,8.75E-03,2.88E+02
1.68E-02,8.25E-03,2.88E+02
1.72E-02,7.75E-03,2.88E+02
1.78E-02,7.25E-03,2.88E+02
1.48E-02,9.75E-03,2.87E+02
1.53E-02,9.25E-03,2.87E+02
1.58E-02,8.75E-03,2.87E+02
1.63E-02,8.25E-03,2.88E+02
1.68E-02,7.75E-03,2.88E+02
1.72E-02,7.25E-03,2.88E+02
1.78E-02,6.75E-03,2.88E+02
1.43E-02,9.75E-03,2.87E+02
1.48E-02,9.25E-03,2.87E+02
1.53E-02,8.75E-03,2.87E+02
1.58E-02,8.25E-03,2.87E+02
1.63E-02,7.75E-03,2.88E+02
1.68E-02,7.25E-03,2.88E+02
